PlayerID,Age,Gender,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel,AvgPlayTimePerWeek,isAddicted,Location_Europe,Location_Other,Location_USA,Genre_RPG,Genre_Simulation,Genre_Sports,Genre_Strategy
9000,43,0,0,1,6,108,79,25,1,648,0,False,True,False,False,False,False,True
9001,29,1,0,1,5,144,11,10,1,720,0,False,False,True,False,False,False,True
9002,22,1,0,0,16,142,35,41,2,2272,1,False,False,True,False,False,True,False
9003,35,0,1,0,9,85,57,47,1,765,0,False,False,True,False,False,False,False
9004,33,0,0,1,2,131,95,37,1,262,0,True,False,False,False,False,False,False
9005,37,0,0,0,2,81,74,22,0,162,0,True,False,False,True,False,False,False
9006,25,0,0,2,1,50,13,2,0,50,0,False,False,True,False,False,False,False
9007,25,1,0,1,10,48,27,23,1,480,0,False,False,False,True,False,False,False
9008,38,1,0,0,5,101,23,41,1,505,0,True,False,False,False,True,False,False
9009,38,1,0,0,13,95,99,36,2,1235,1,False,True,False,False,False,True,False
9010,17,0,0,2,8,95,14,12,2,760,0,False,False,True,False,False,False,True
9011,36,1,1,0,16,124,62,31,2,1984,1,False,False,False,False,True,False,False
9012,16,0,1,0,9,18,52,32,2,162,0,False,False,True,False,False,True,False
9013,38,1,0,0,0,156,33,47,0,0,0,False,False,True,False,False,False,True
9014,44,0,0,0,8,41,98,1,0,328,0,False,False,True,False,True,False,False
9015,16,0,0,1,10,156,58,24,2,1560,1,True,False,False,True,False,False,False
9016,35,0,0,0,16,154,62,4,2,2464,1,False,False,False,False,False,False,True
9017,47,0,0,1,2,131,13,9,0,262,0,False,False,True,True,False,False,False
9018,26,1,0,0,3,135,77,25,1,405,0,False,False,False,False,False,False,False
9019,36,1,0,0,4,56,21,30,0,224,0,False,False,False,True,False,False,False
9020,39,1,0,0,2,177,34,37,1,354,0,False,False,True,False,False,True,False
9021,41,1,0,0,18,159,36,33,2,2862,1,False,False,True,False,False,True,False
9022,42,0,0,1,2,120,81,5,0,240,0,False,False,True,False,False,True,False
9023,30,0,0,0,14,117,40,19,2,1638,1,True,False,False,False,False,False,True
9024,29,0,0,1,12,161,1,22,2,1932,1,True,False,False,False,False,True,False
9025,17,1,0,2,4,82,1,7,1,328,0,False,False,True,False,False,True,False
9026,21,0,0,1,12,118,71,26,2,1416,1,False,False,True,False,False,False,True
9027,35,0,0,0,18,177,59,18,2,3186,1,False,False,True,False,False,True,False
9028,23,0,0,0,14,57,2,1,1,798,0,True,False,False,False,True,False,False
9029,32,1,0,0,1,155,85,37,0,155,0,False,False,True,False,False,True,False
9030,18,1,0,0,3,67,35,2,0,201,0,False,False,False,False,True,False,False
9031,39,0,1,0,5,70,50,11,1,350,0,False,False,True,False,False,True,False
9032,28,1,0,2,0,127,48,48,0,0,0,True,False,False,False,False,False,False
9033,23,0,0,2,19,48,62,42,1,912,0,False,False,True,False,True,False,False
9034,40,0,0,2,0,120,24,18,0,0,0,False,False,True,False,False,False,True
9035,16,1,0,1,18,166,24,17,2,2988,1,False,False,True,True,False,False,False
9036,34,0,0,2,19,28,79,41,1,532,0,True,False,False,False,False,False,False
9037,42,0,0,1,17,61,26,26,1,1037,0,False,False,True,False,False,False,True
9038,21,1,0,1,11,112,14,0,1,1232,1,True,False,False,False,False,False,False
9039,22,1,0,2,3,116,52,44,1,348,0,True,False,False,False,False,True,False
9040,49,1,1,1,15,43,93,29,1,645,0,True,False,False,False,False,False,True
9041,28,0,0,1,4,151,76,35,1,604,0,False,True,False,True,False,False,False
9042,31,0,0,1,15,68,88,39,1,1020,0,False,False,True,False,False,False,False
9043,18,0,0,1,12,115,98,7,1,1380,1,False,True,False,True,False,False,False
9044,16,1,0,0,14,149,10,34,2,2086,1,True,False,False,False,False,False,False
9045,20,0,0,1,19,65,34,46,1,1235,1,False,False,False,True,False,False,False
9046,18,0,0,0,17,176,45,43,2,2992,1,False,False,True,True,False,False,False
9047,43,0,0,1,3,31,73,49,0,93,0,False,False,True,False,False,False,True
9048,32,1,0,0,19,77,51,38,2,1463,1,False,False,True,False,False,True,False
9049,40,0,0,2,8,94,31,13,1,752,0,True,False,False,False,False,True,False
9050,48,0,0,2,3,146,22,32,1,438,0,False,True,False,True,False,False,False
9051,24,0,0,1,8,45,19,21,2,360,0,False,False,True,False,False,True,False
9052,28,0,0,0,8,134,64,25,1,1072,0,True,False,False,False,True,False,False
9053,45,0,1,0,1,50,95,26,0,50,0,True,False,False,False,True,False,False
9054,29,0,1,0,15,171,6,16,2,2565,1,True,False,False,True,False,False,False
